sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
assembly	chromosome			contig_21	2590444	0.6147737607915863	f27c3022aa8c89bf34cfbfdbbfd03bf5	00977	EU327991	ISAzo11	IS5	1038	19	1038	660512	661531						
assembly	chromosome			contig_21	2590444	0.6147737607915863	f27c3022aa8c89bf34cfbfdbbfd03bf5	01172	KY883660	ISPpu30	IS66	2347	357	2257	1257873	1259795						
assembly	chromosome			contig_21	2590444	0.6147737607915863	f27c3022aa8c89bf34cfbfdbbfd03bf5	01172	KY883660	ISPpu30	IS66	2347	357	2257	1774878	1776800						
assembly	chromosome			contig_21	2590444	0.6147737607915863	f27c3022aa8c89bf34cfbfdbbfd03bf5	01172	KY883660	ISPpu30	IS66	2347	357	2257	2321883	2323805						
assembly	chromosome			contig_20	692412	0.6197740651519615	98489bc05f0d810d70697c586a4329c8	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	201839	204201						
assembly	chromosome			contig_20	692412	0.6197740651519615	98489bc05f0d810d70697c586a4329c8	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	205036	206568						
assembly	chromosome			contig_17	499157	0.6173969312260471	75cb5f1ed3847e3b49edbe70ab231d91	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	163959	166321						
assembly	chromosome			contig_17	499157	0.6173969312260471	75cb5f1ed3847e3b49edbe70ab231d91	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	167156	168688						
assembly	chromosome			contig_4	489001	0.5917513461117666	20550e7b2874d047c580c0d08ffc3194	01400	CP016586.1	23s-rRNA	23S	3027	661	3027	243501	245863						
assembly	chromosome			contig_4	489001	0.5917513461117666	20550e7b2874d047c580c0d08ffc3194	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	246918	248450						
assembly	chromosome			contig_4	489001	0.5917513461117666	20550e7b2874d047c580c0d08ffc3194	00124	KY860572	ISPa22	IS1182	1669	161	1608	349832	351265						
assembly	chromosome			contig_24	454662	0.6211163457689448	0aa6f3b55141b983dc70289ee62210cb	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	444089	445627						
assembly	chromosome			contig_24	454662	0.6211163457689448	0aa6f3b55141b983dc70289ee62210cb	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	446680	449042						
assembly	chromosome			contig_5	339789	0.6087601423236185	afcc1ca9090ad7d8c1dce1e412fc2cc5	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	10910	12446						
assembly	chromosome			contig_25	257693	0.5869542440035236	75aabf363855a12b9d4e4ea61196209d	01167	BK010246	ISPpu14	IS66	42033	1	42033	8591	50674						
assembly	chromosome			contig_25	257693	0.5869542440035236	75aabf363855a12b9d4e4ea61196209d	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	233469	235007						
assembly	chromosome			contig_25	257693	0.5869542440035236	75aabf363855a12b9d4e4ea61196209d	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	235844	238207						
assembly	chromosome			contig_25	257693	0.5869542440035236	75aabf363855a12b9d4e4ea61196209d	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	238902	240441						
assembly	chromosome			contig_25	257693	0.5869542440035236	75aabf363855a12b9d4e4ea61196209d	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	241489	243851						
assembly	chromosome			contig_92	161813	0.612991539616718	5cfb0f8296d22d6f024f1b7c4e4ffd6d	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	762	3124						
assembly	chromosome			contig_23	147032	0.5769424343000163	76dd01c455f29db4ab7e613a4bba3b27	01172	KY883660	ISPpu30	IS66	2347	340	2315	31049	33025						
assembly	chromosome			contig_23	147032	0.5769424343000163	76dd01c455f29db4ab7e613a4bba3b27	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	136525	138061						
assembly	chromosome			contig_38	82226	0.6016710043052076	ca08317ce5e1ca3725eb0ee0d6d06398	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	758	3120						
assembly	chromosome			contig_22	5428	0.5125276344878408	3d90eb29690022766dd17af967260ec5	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	199	1736						
